2026-01-08 21:46:25,751 | INFO | spark.backtest.forex_daily | Reading features from: data/features/forex_daily/frequency=daily
2026-01-08 21:46:32,349 | INFO | spark.backtest.forex_daily | Backtest model=naive, ingest_date=2026-01-08, frequency=daily
2026-01-08 21:46:34,857 | INFO | spark.backtest.forex_daily | Computed metrics for pairs: 3
2026-01-08 21:46:34,857 | INFO | spark.backtest.forex_daily | Writing metrics to: data/metrics/backtest/frequency=daily/model=naive (partitionBy pair, ingest_date)
2026-01-08 21:46:37,603 | INFO | spark.backtest.forex_daily | [TOP RMSE] pair=USD_JPY n=92 mae=0.005535 rmse=0.006925 mape=3.832049
2026-01-08 21:46:37,604 | INFO | spark.backtest.forex_daily | [TOP RMSE] pair=GBP_USD n=92 mae=0.004140 rmse=0.005349 mape=3.775953
2026-01-08 21:46:37,604 | INFO | spark.backtest.forex_daily | [TOP RMSE] pair=EUR_USD n=92 mae=0.003049 rmse=0.004084 mape=38982601.379784
2026-01-08 21:46:37,604 | INFO | spark.backtest.forex_daily | Backtest done.
2026-01-08 21:56:10,498 | INFO | spark.backtest.forex_daily | Reading features from: data/features/forex_daily/frequency=daily
2026-01-08 21:56:17,472 | INFO | spark.backtest.forex_daily | Backtest model=naive, ingest_date=2026-01-08, frequency=daily
2026-01-08 21:56:20,188 | INFO | spark.backtest.forex_daily | Computed metrics for pairs: 3
2026-01-08 21:56:20,188 | INFO | spark.backtest.forex_daily | Writing metrics to: data/metrics/backtest/frequency=daily/model=naive (partitionBy pair, ingest_date)
2026-01-08 21:56:22,871 | INFO | spark.backtest.forex_daily | [TOP RMSE] pair=USD_JPY n=92 mae=0.005535 rmse=0.006925 smape=1.502616
2026-01-08 21:56:22,872 | INFO | spark.backtest.forex_daily | [TOP RMSE] pair=GBP_USD n=92 mae=0.004140 rmse=0.005349 smape=1.481700
2026-01-08 21:56:22,872 | INFO | spark.backtest.forex_daily | [TOP RMSE] pair=EUR_USD n=92 mae=0.003049 rmse=0.004084 smape=1.345403
2026-01-08 21:56:22,872 | INFO | spark.backtest.forex_daily | Backtest done.
2026-01-08 22:06:05,949 | INFO | spark.backtest.forex_daily | Reading features from: data/features/forex_daily/frequency=daily
2026-01-08 22:06:12,426 | INFO | spark.backtest.forex_daily | Backtest model=seasonal_naive, ingest_date=2026-01-08, frequency=daily
2026-01-08 22:06:15,002 | INFO | spark.backtest.forex_daily | Computed metrics for pairs: 3
2026-01-08 22:06:15,003 | INFO | spark.backtest.forex_daily | Writing metrics to: data/metrics/backtest/frequency=daily/model=seasonal_naive (partitionBy pair, ingest_date)
2026-01-08 22:06:17,542 | INFO | spark.backtest.forex_daily | [TOP RMSE] pair=USD_JPY n=88 mae=0.005436 rmse=0.007194 smape=1.401298
2026-01-08 22:06:17,542 | INFO | spark.backtest.forex_daily | [TOP RMSE] pair=GBP_USD n=88 mae=0.003625 rmse=0.004589 smape=1.432443
2026-01-08 22:06:17,542 | INFO | spark.backtest.forex_daily | [TOP RMSE] pair=EUR_USD n=88 mae=0.003362 rmse=0.004150 smape=1.498877
2026-01-08 22:06:17,542 | INFO | spark.backtest.forex_daily | Backtest done.
2026-01-08 22:10:57,471 | INFO | spark.backtest.forex_daily | Reading features from: data/features/forex_daily/frequency=daily
2026-01-08 22:11:04,166 | INFO | spark.backtest.forex_daily | Backtest model=naive, ingest_date=2026-01-08, frequency=daily
2026-01-08 22:11:06,710 | INFO | spark.backtest.forex_daily | Computed metrics for pairs: 3
2026-01-08 22:11:06,710 | INFO | spark.backtest.forex_daily | Writing metrics to: data/metrics/backtest/frequency=daily/model=naive (partitionBy pair, ingest_date)
2026-01-08 22:11:09,318 | INFO | spark.backtest.forex_daily | [TOP RMSE] pair=USD_JPY n=92 mae=0.005535 rmse=0.006925 smape=1.502616
2026-01-08 22:11:09,318 | INFO | spark.backtest.forex_daily | [TOP RMSE] pair=GBP_USD n=92 mae=0.004140 rmse=0.005349 smape=1.481700
2026-01-08 22:11:09,318 | INFO | spark.backtest.forex_daily | [TOP RMSE] pair=EUR_USD n=92 mae=0.003049 rmse=0.004084 smape=1.345403
2026-01-08 22:11:09,318 | INFO | spark.backtest.forex_daily | Backtest done.
2026-01-08 22:11:16,075 | INFO | spark.backtest.forex_daily | Reading features from: data/features/forex_daily/frequency=daily
2026-01-08 22:11:22,179 | INFO | spark.backtest.forex_daily | Backtest model=seasonal_naive, ingest_date=2026-01-08, frequency=daily
2026-01-08 22:11:24,430 | INFO | spark.backtest.forex_daily | Computed metrics for pairs: 3
