2025-12-17 23:24:23,375 | INFO | spark.preprocess.forex_daily | Preprocessing zapisany do: data/processed/forex_daily/pair=EUR_USD
2025-12-17 23:24:24,980 | INFO | spark.preprocess.forex_daily | Liczba rekordów po preprocessingu: 4999
2025-12-17 23:31:29,997 | INFO | spark.preprocess.forex_daily | Preprocessing zapisany do: data/processed/forex_daily/pair=EUR_USD
2025-12-17 23:31:31,417 | INFO | spark.preprocess.forex_daily | Liczba rekordów po preprocessingu: 4999
2025-12-17 23:43:08,199 | INFO | spark.preprocess.forex_daily | Preprocessing zapisany do: data/processed/forex_daily/pair=EUR_USD
2025-12-17 23:43:09,776 | INFO | spark.preprocess.forex_daily | Liczba rekordów po preprocessingu: 4999
2025-12-17 23:45:48,352 | INFO | spark.preprocess.forex_daily | Preprocessing zapisany do: data/processed/forex_daily/pair=EUR_USD
2025-12-17 23:45:49,693 | INFO | spark.preprocess.forex_daily | Liczba rekordów po preprocessingu: 4999
2025-12-17 23:50:55,241 | INFO | spark.preprocess.forex_daily | Preprocessing zapisany do: data/processed/forex_daily/pair=EUR_USD
2025-12-17 23:50:56,403 | INFO | spark.preprocess.forex_daily | Liczba rekordów po preprocessingu: 4999
2025-12-17 23:55:37,066 | INFO | spark.preprocess.forex_daily | Preprocessing zapisany do: data/processed/forex_daily/pair=EUR_USD
2025-12-17 23:55:38,505 | INFO | spark.preprocess.forex_daily | Liczba rekordów po preprocessingu: 4999
2025-12-17 23:59:58,376 | INFO | spark.preprocess.forex_daily | Preprocessing zapisany do: data/processed/forex_daily/pair=EUR_USD
2025-12-17 23:59:59,348 | INFO | spark.preprocess.forex_daily | Liczba rekordów po preprocessingu: 4999
2025-12-18 00:04:55,533 | INFO | spark.preprocess.forex_daily | Preprocessing zapisany do: data/processed/forex_daily/pair=EUR_USD
2025-12-18 00:04:56,917 | INFO | spark.preprocess.forex_daily | Liczba rekordów po preprocessingu: 4999
2025-12-18 00:08:15,839 | INFO | spark.preprocess.forex_daily | Preprocessing zapisany do: data/processed/forex_daily/pair=EUR_USD
2025-12-18 00:08:17,190 | INFO | spark.preprocess.forex_daily | Liczba rekordów po preprocessingu: 4999
2025-12-18 00:11:38,678 | INFO | spark.preprocess.forex_daily | Preprocessing zapisany do: data/processed/forex_daily/pair=EUR_USD
2025-12-18 00:11:40,097 | INFO | spark.preprocess.forex_daily | Liczba rekordów po preprocessingu: 4999
