2026-01-10 14:08:49,255 | INFO | naive.backtest | NAIVE backtest ingest_date=2026-01-08, pairs=['EUR_USD', 'GBP_USD', 'USD_JPY'], test_size=90
2026-01-10 14:08:49,408 | WARNING | naive.backtest | Skipping EUR_USD: too short series len=93
2026-01-10 14:08:49,421 | WARNING | naive.backtest | Skipping GBP_USD: too short series len=93
2026-01-10 14:08:49,432 | WARNING | naive.backtest | Skipping USD_JPY: too short series len=93
2026-01-10 14:16:58,629 | INFO | naive.backtest | NAIVE backtest ingest_date=2026-01-08, pairs=['EUR_USD', 'GBP_USD', 'USD_JPY'], test_size=90
2026-01-10 14:16:58,664 | WARNING | naive.backtest | Skipping EUR_USD: too short series len=93
2026-01-10 14:16:58,676 | WARNING | naive.backtest | Skipping GBP_USD: too short series len=93
2026-01-10 14:16:58,688 | WARNING | naive.backtest | Skipping USD_JPY: too short series len=93
2026-01-10 14:33:18,567 | INFO | naive.backtest | NAIVE backtest ingest_date=2026-01-08, pairs=['EUR_USD', 'GBP_USD', 'USD_JPY'], test_size=30, min_train_size=60
2026-01-10 14:33:18,652 | INFO | naive.backtest | Computed metrics for pairs: 3
2026-01-10 14:33:18,652 | INFO | naive.backtest | Done.
2026-01-10 14:50:00,450 | INFO | naive.backtest | NAIVE backtest ingest_date=2026-01-10, pairs=['EUR_USD', 'GBP_USD', 'USD_JPY'], test_size=30, min_train_size=60
2026-01-10 14:50:00,537 | INFO | naive.backtest | Computed metrics for pairs: 3
2026-01-10 14:50:00,537 | INFO | naive.backtest | Done.
2026-01-10 15:05:33,041 | INFO | naive.backtest | NAIVE backtest ingest_date=2026-01-10, pairs=['EUR_USD', 'GBP_USD', 'USD_JPY'], test_size=30, min_train_size=60
2026-01-10 15:05:33,128 | INFO | naive.backtest | Computed metrics for pairs: 3
2026-01-10 15:05:33,128 | INFO | naive.backtest | Done.
2026-01-10 15:34:48,639 | INFO | naive.backtest | NAIVE backtest ingest_date=2026-01-10, pairs=['EUR_USD', 'GBP_USD', 'USD_JPY'], test_size=30, min_train_size=60
2026-01-10 15:34:48,727 | INFO | naive.backtest | Computed metrics for pairs: 3
2026-01-10 15:34:48,727 | INFO | naive.backtest | Done.
2026-01-10 15:50:00,268 | INFO | naive.backtest | NAIVE backtest ingest_date=2026-01-10, pairs=['EUR_USD', 'GBP_USD', 'USD_JPY'], test_size=30, min_train_size=60
2026-01-10 15:50:00,389 | INFO | naive.backtest | Computed metrics for pairs: 3
2026-01-10 15:50:00,389 | INFO | naive.backtest | Done.
2026-01-10 15:57:02,358 | INFO | naive.backtest | NAIVE backtest ingest_date=2026-01-10, pairs=['EUR_USD', 'GBP_USD', 'USD_JPY'], test_size=30, min_train_size=60
2026-01-10 15:57:02,470 | INFO | naive.backtest | Computed metrics for pairs: 3
2026-01-10 15:57:02,470 | INFO | naive.backtest | Done.
2026-01-10 16:10:55,767 | INFO | naive.backtest | NAIVE backtest ingest_date=2026-01-10, pairs=['EUR_USD', 'GBP_USD', 'USD_JPY'], test_size=30, min_train_size=60
2026-01-10 16:10:55,851 | INFO | naive.backtest | Computed metrics for pairs: 3
2026-01-10 16:10:55,851 | INFO | naive.backtest | Done.
2026-01-10 16:13:56,320 | INFO | naive.backtest | NAIVE backtest ingest_date=2026-01-10, pairs=['EUR_USD', 'GBP_USD', 'USD_JPY'], test_size=30, min_train_size=60
2026-01-10 16:13:56,412 | INFO | naive.backtest | Computed metrics for pairs: 3
2026-01-10 16:13:56,413 | INFO | naive.backtest | Done.
2026-01-14 15:34:39,769 | INFO | naive.backtest | NAIVE backtest ingest_date=2026-01-14, pairs=['EUR_USD', 'GBP_USD', 'USD_JPY'], test_size=30, min_train_size=60
2026-01-14 15:39:47,684 | INFO | naive.backtest | NAIVE backtest ingest_date=2026-01-14, pairs=['EUR_USD', 'GBP_USD', 'USD_JPY'], test_size=30, min_train_size=60
2026-01-14 15:39:47,879 | INFO | naive.backtest | Computed metrics for pairs: 3
2026-01-14 15:39:47,880 | INFO | naive.backtest | Done.
