2026-01-10 14:50:12,351 | INFO | visualize.forecast_vs_actual | Visualization ingest_date=2026-01-10, pairs=['EUR_USD', 'GBP_USD', 'USD_JPY'], models=['naive', 'sarima', 'prophet']
2026-01-10 14:50:12,427 | WARNING | visualize.forecast_vs_actual | No prediction for pair=EUR_USD, model=sarima, ingest_date=2026-01-10
2026-01-10 14:50:12,859 | INFO | visualize.forecast_vs_actual | Saved plot: reports/figures/forex_daily/frequency=daily/ingest_date=2026-01-10/pair=EUR_USD/forecast_vs_actual.png
2026-01-10 14:50:12,875 | WARNING | visualize.forecast_vs_actual | No prediction for pair=GBP_USD, model=sarima, ingest_date=2026-01-10
2026-01-10 14:50:13,280 | INFO | visualize.forecast_vs_actual | Saved plot: reports/figures/forex_daily/frequency=daily/ingest_date=2026-01-10/pair=GBP_USD/forecast_vs_actual.png
2026-01-10 14:50:13,294 | WARNING | visualize.forecast_vs_actual | No prediction for pair=USD_JPY, model=sarima, ingest_date=2026-01-10
2026-01-10 14:50:13,687 | INFO | visualize.forecast_vs_actual | Saved plot: reports/figures/forex_daily/frequency=daily/ingest_date=2026-01-10/pair=USD_JPY/forecast_vs_actual.png
2026-01-10 14:50:13,695 | INFO | visualize.forecast_vs_actual | Saved predictions summary: reports/figures/forex_daily/frequency=daily/ingest_date=2026-01-10/predictions_summary.csv
2026-01-10 15:05:45,352 | INFO | visualize.forecast_vs_actual | Visualization ingest_date=2026-01-10, pairs=['EUR_USD', 'GBP_USD', 'USD_JPY'], models=['naive', 'sarima', 'prophet']
2026-01-10 15:05:45,828 | INFO | visualize.forecast_vs_actual | Saved plot: reports/figures/forex_daily/frequency=daily/ingest_date=2026-01-10/pair=EUR_USD/forecast_vs_actual.png
2026-01-10 15:05:46,242 | INFO | visualize.forecast_vs_actual | Saved plot: reports/figures/forex_daily/frequency=daily/ingest_date=2026-01-10/pair=GBP_USD/forecast_vs_actual.png
2026-01-10 15:05:46,663 | INFO | visualize.forecast_vs_actual | Saved plot: reports/figures/forex_daily/frequency=daily/ingest_date=2026-01-10/pair=USD_JPY/forecast_vs_actual.png
2026-01-10 15:05:46,669 | INFO | visualize.forecast_vs_actual | Saved predictions summary: reports/figures/forex_daily/frequency=daily/ingest_date=2026-01-10/predictions_summary.csv
2026-01-10 15:34:58,095 | INFO | visualize.forecast_vs_actual | Visualization ingest_date=2026-01-10, pairs=['EUR_USD', 'GBP_USD', 'USD_JPY'], models=['naive', 'sarima', 'prophet']
2026-01-10 15:37:48,834 | INFO | visualize.forecast_vs_actual | Visualization ingest_date=2026-01-10, pairs=['EUR_USD', 'GBP_USD', 'USD_JPY'], models=['naive', 'sarima', 'prophet']
2026-01-10 15:50:15,071 | INFO | visualize.forecast_vs_actual | Visualization ingest_date=2026-01-10, pairs=['EUR_USD', 'GBP_USD', 'USD_JPY'], models=['naive', 'sarima', 'prophet']
2026-01-10 15:50:15,559 | INFO | visualize.forecast_vs_actual | Saved plot: reports/figures/forex_daily/frequency=daily/ingest_date=2026-01-10/pair=EUR_USD/forecast_vs_actual.png
2026-01-10 15:50:16,015 | INFO | visualize.forecast_vs_actual | Saved plot: reports/figures/forex_daily/frequency=daily/ingest_date=2026-01-10/pair=GBP_USD/forecast_vs_actual.png
2026-01-10 15:50:16,451 | INFO | visualize.forecast_vs_actual | Saved plot: reports/figures/forex_daily/frequency=daily/ingest_date=2026-01-10/pair=USD_JPY/forecast_vs_actual.png
2026-01-10 15:50:16,453 | INFO | visualize.forecast_vs_actual | Saved predictions summary: reports/figures/forex_daily/frequency=daily/ingest_date=2026-01-10/predictions_summary.csv
2026-01-10 15:57:15,181 | INFO | visualize.forecast_vs_actual | Visualization ingest_date=2026-01-10, pairs=['EUR_USD', 'GBP_USD', 'USD_JPY'], models=['naive', 'sarima', 'prophet']
2026-01-10 15:57:15,624 | INFO | visualize.forecast_vs_actual | Saved plot: reports/figures/forex_daily/frequency=daily/ingest_date=2026-01-10/pair=EUR_USD/forecast_vs_actual.png
2026-01-10 15:57:16,001 | INFO | visualize.forecast_vs_actual | Saved plot: reports/figures/forex_daily/frequency=daily/ingest_date=2026-01-10/pair=GBP_USD/forecast_vs_actual.png
2026-01-10 15:57:16,382 | INFO | visualize.forecast_vs_actual | Saved plot: reports/figures/forex_daily/frequency=daily/ingest_date=2026-01-10/pair=USD_JPY/forecast_vs_actual.png
2026-01-10 15:57:16,384 | INFO | visualize.forecast_vs_actual | Saved predictions summary: reports/figures/forex_daily/frequency=daily/ingest_date=2026-01-10/predictions_summary.csv
2026-01-10 16:08:01,547 | INFO | visualize.forecast_vs_actual | Visualization ingest_date=2026-01-10, pairs=['EUR_USD', 'GBP_USD', 'USD_JPY'], models=['naive', 'sarima', 'prophet'], intervals=OFF
2026-01-10 16:08:02,118 | INFO | visualize.forecast_vs_actual | Saved plot: reports/figures/forex_daily/frequency=daily/ingest_date=2026-01-10/pair=EUR_USD/forecast_vs_actual_no_interval.png
2026-01-10 16:08:02,626 | INFO | visualize.forecast_vs_actual | Saved plot: reports/figures/forex_daily/frequency=daily/ingest_date=2026-01-10/pair=GBP_USD/forecast_vs_actual_no_interval.png
2026-01-10 16:08:02,997 | INFO | visualize.forecast_vs_actual | Saved plot: reports/figures/forex_daily/frequency=daily/ingest_date=2026-01-10/pair=USD_JPY/forecast_vs_actual_no_interval.png
2026-01-10 16:08:03,000 | INFO | visualize.forecast_vs_actual | Saved predictions summary: reports/figures/forex_daily/frequency=daily/ingest_date=2026-01-10/predictions_summary.csv
2026-01-10 16:11:09,089 | INFO | visualize.forecast_vs_actual | Visualization ingest_date=2026-01-10, pairs=['EUR_USD', 'GBP_USD', 'USD_JPY'], models=['naive', 'sarima', 'prophet'], intervals=ON
